"videoId","categoryId","category","duration","viewCount","commentCount"
"kC9YNz-h828","23","Comedy","PT4M41S","26305144","14874"
"fk4BbF7B29w","10","Music","PT3M46S","246005519","108727"
"O1oGMX6lO10","24","Entertainment","PT3M29S","39487501","28791"
"CDMzv_LNw5c","20","Gaming","PT3M31S","19264511","17004"
"BtmlRE4Iy5Y","23","Comedy","PT5M4S","33246473","17930"
"56R3hU-fWZY","24","Entertainment","PT2M25S","40395776","114000"
"UprcpdwuwCg","10","Music","PT3M38S","280612010","177472"
"1_hKLfTKU5Y","10","Music","PT1M46S","84820294","334531"
"ZZmfJxtElOc","23","Comedy","PT4M6S","27761888","11796"
"bzE-IMaegzQ","27","Education","PT3M4S","17665469","19032"
"7o4uDXft_pU","23","Comedy","PT3M37S","20427785","19869"
"X8Q4vPKDMpk","23","Comedy","PT4M36S","25537457","7763"
"lp-EO5I60KA","10","Music","PT4M57S","1303324712","177748"
"1DVd-BE5VQw","23","Comedy","PT3M47S","6663435","2995"
"dX_1B0w7Hzc","24","Entertainment","PT3M30S","124314464","521313"
"nU4EJfX2aXE","17","Sports","PT6M11S","36363902","27263"
"VgVQKCcfwnU","28","Science & Technology","PT2M54S","5226701","8470"
"Iy7xDGi5lp4","24","Entertainment","PT4M4S","16698459","108939"
"BPCRCa5xiTI","24","Entertainment","PT4M36S","15514415","9419"
"0gWxHFMog9w","17","Sports","PT5M28S","42643170","42538"
"gkRDqSeCFes","23","Comedy","PT3M41S","10236804","11372"
"NJfCuMmhSjc","23","Comedy","PT3M58S","22400696","3741"
"zCbfWGgp9qs","23","Comedy","PT5M2S","57183959","10496"
"Vzv40VWL5ho","17","Sports","PT6M48S","26465455","14660"
"ZT2z0nrsQ8o","24","Entertainment","PT3M38S","78099540","368450"
"3PNsMXe170Q","17","Sports","PT5M59S","23906293","17031"
"HsTvImY4Hgw","24","Entertainment","PT2M26S","18137016","22585"
"DeumyOzKqgI","10","Music","PT4M50S","217486933","70126"
"tOHARIf3gpw","17","Sports","PT4M34S","22708935","19351"
"fa4-noXCdEY","23","Comedy","PT4M51S","12342284","15265"
"-J7J_IWUhls","10","Music","PT4M28S","109706047","41002"
"n0tAXKkfvxk","22","People & Blogs","PT5M18S","5597037","8077"
"M34NqLsXbHg","23","Comedy","PT3M23S","11049191","4726"
"wfhiA67yWek","23","Comedy","PT3M55S","9366651","6707"
"qtsNbxgPngA","23","Comedy","PT9M15S","35909990","12822"
"IlQnGkfskrQ","17","Sports","PT6M28S","39569405","36751"
"dGidYBqBHVw","23","Comedy","PT8M11S","32699185","10551"
"qaJUEuP6QlI","17","Sports","PT4M51S","22571238","24689"
"LoaEy7CCC1E","17","Sports","PT5M59S","35621179","12647"
"6IJ4pvVYuLM","23","Comedy","PT5M41S","9708462","13724"
"efPGsYK6ayI","17","Sports","PT6M32S","11660246","5804"
"VYwhwNRrQVE","20","Gaming","PT1M47S","14515976","10452"
"6pgCcJZC3zs","23","Comedy","PT5M11S","7112910","11388"
"GNuzdKfpK60","23","Comedy","PT3M9S","28945474","14972"
"Cy0thWiV-eA","17","Sports","PT6M38S","16794392","11046"
"p-74y3kdWGo","23","Comedy","PT4M38S","10229603","20713"
"ss9ygQqqL2Q","23","Comedy","PT6M3S","71428445","42904"
