"videoId","categoryId","category","duration","viewCount","commentCount","channelId"
"h7wBzQKrufQ","10","Music","PT3M40S","123287","28","UCSY6I68IOgUToRhdgmYNNCA"
"sp7PS_UN8Lo","10","Music","PT4M26S","14705765","12032","UCSY6I68IOgUToRhdgmYNNCA"
"3MteSlpxCpo","10","Music","PT4M56S","212571341","153743","UCSY6I68IOgUToRhdgmYNNCA"
"3dXKxmLUl54","10","Music","PT4M56S","1794899","3100","UCSY6I68IOgUToRhdgmYNNCA"
"F80FsZDTgn0","10","Music","PT3M20S","48498541","38153","UCSY6I68IOgUToRhdgmYNNCA"
"eMrh3wYb1mM","10","Music","PT3M27S","18077098","16515","UCSY6I68IOgUToRhdgmYNNCA"
"FMlcn-_jpWY","10","Music","PT3M48S","175333017","116435","UCSY6I68IOgUToRhdgmYNNCA"
"gYPqJ7wqjTM","10","Music","PT3M44S","5712991","5420","UCSY6I68IOgUToRhdgmYNNCA"
"LdLvp630plc","10","Music","PT1M59S","891076","1090","UCSY6I68IOgUToRhdgmYNNCA"
"Px2mE7yOTew","10","Music","PT3M12S","1130387","2870","UCSY6I68IOgUToRhdgmYNNCA"
"d_RMDK6blik","10","Music","PT3M31S","5403082","3771","UCSY6I68IOgUToRhdgmYNNCA"
"IAH73_uxulI","10","Music","PT5M45S","149857","51","UCSY6I68IOgUToRhdgmYNNCA"
"C_3d6GntKbk","10","Music","PT3M27S","631750860","354848","UCSY6I68IOgUToRhdgmYNNCA"
"XYtFp7gNCVA","10","Music","PT2M35S","94135","93","UCSY6I68IOgUToRhdgmYNNCA"
"WbV8htgtbfs","10","Music","PT3M53S","9582933","14669","UCSY6I68IOgUToRhdgmYNNCA"
"W9LJDwZOprY","10","Music","PT3M39S","22008891","34746","UCSY6I68IOgUToRhdgmYNNCA"
"R03cqGg40GU","10","Music","PT3M33S","35666794","46630","UCSY6I68IOgUToRhdgmYNNCA"
"3hCPhx4nDpA","10","Music","PT2M49S","23344","67","UCSY6I68IOgUToRhdgmYNNCA"
"TFrMDGfW_Sg","10","Music","PT3M56S","79745521","70910","UCSY6I68IOgUToRhdgmYNNCA"
"DXKHCgNFk1I","10","Music","PT3M46S","28042830","10460","UCSY6I68IOgUToRhdgmYNNCA"
"yzTuBuRdAyA","10","Music","PT3M55S","928179932","181197","UCSY6I68IOgUToRhdgmYNNCA"
"mhE2LZIgFqA","10","Music","PT5M26S","359093","184","UCSY6I68IOgUToRhdgmYNNCA"
"1ekZEVeXwek","10","Music","PT4M15S","270522232","116220","UCSY6I68IOgUToRhdgmYNNCA"
"J3_DL0q9oq4","10","Music","PT2M2S","3726629","3430","UCSY6I68IOgUToRhdgmYNNCA"
"kOkQ4T5WO9E","10","Music","PT4M","834249206","177853","UCSY6I68IOgUToRhdgmYNNCA"
"f-JJMTdQC4Q","10","Music","PT4M46S","567378","728","UCSY6I68IOgUToRhdgmYNNCA"
"UCZzepkKjD0","10","Music","PT4M9S","17548162","11590","UCSY6I68IOgUToRhdgmYNNCA"
"DVnz9iyolLA","10","Music","PT3M57S","12134473","9084","UCSY6I68IOgUToRhdgmYNNCA"
"VVYTzauIb_4","10","Music","PT3M58S","50982784","80785","UCSY6I68IOgUToRhdgmYNNCA"
"B9kDbQH4Y_k","10","Music","PT3M18S","3203191","3289","UCSY6I68IOgUToRhdgmYNNCA"
"lFIIMEe2Ht0","10","Music","PT3M21S","30534217","43509","UCSY6I68IOgUToRhdgmYNNCA"
"4NhKWZpkw1Q","10","Music","PT3M37S","167261196","72000","UCSY6I68IOgUToRhdgmYNNCA"
"LbwjQSBH0sE","10","Music","PT2M51S","435033","140","UCSY6I68IOgUToRhdgmYNNCA"
"Q4KZaI_jtKs","10","Music","PT4M3S","10897536","24926","UCSY6I68IOgUToRhdgmYNNCA"
"FioILtcBcLE","10","Music","PT2M54S","44398586","20901","UCSY6I68IOgUToRhdgmYNNCA"
"G5LLCWJgQtM","10","Music","PT6M55S","630468","248","UCSY6I68IOgUToRhdgmYNNCA"
"yvEbGwKZQlY","10","Music","PT3M4S","27890","66","UCSY6I68IOgUToRhdgmYNNCA"
"IoYY8Yuc334","10","Music","PT3M43S","101828","42","UCSY6I68IOgUToRhdgmYNNCA"
"u5dbqLSqSjQ","10","Music","PT2M28S","731903","1175","UCSY6I68IOgUToRhdgmYNNCA"
"CDt6LThUjeE","10","Music","PT51S","222810","214","UCSY6I68IOgUToRhdgmYNNCA"
"5KR7uZxFSMY","22","People & Blogs","PT4M4S","6042","1","UCSY6I68IOgUToRhdgmYNNCA"
"XzCUGUJkKbE","22","People & Blogs","PT3M24S","892246","885","UCSY6I68IOgUToRhdgmYNNCA"
"aCx-M4xWJtc","22","People & Blogs","PT2M53S","86055","508","UCSY6I68IOgUToRhdgmYNNCA"
"2OtT7WDmviU","22","People & Blogs","PT3M31S","3121","3","UCSY6I68IOgUToRhdgmYNNCA"
"KEPoRN7T_vg","22","People & Blogs","PT3M1S","3273","1","UCSY6I68IOgUToRhdgmYNNCA"
"4FD-29WhMgs","23","Comedy","PT5M5S","2707760","4336","UCSY6I68IOgUToRhdgmYNNCA"
"yQfpo_Ggxtw","23","Comedy","PT7S","9757","1","UCSY6I68IOgUToRhdgmYNNCA"
"6eBpj5b0QeA","24","Entertainment","PT3M18S","333353","281","UCSY6I68IOgUToRhdgmYNNCA"
"DArBEV0emUM","24","Entertainment","PT2M51S","1728418","956","UCSY6I68IOgUToRhdgmYNNCA"
"Qhtrl_EXeyM","24","Entertainment","PT3M29S","44833","42","UCSY6I68IOgUToRhdgmYNNCA"
"Yj4nsZ3o1ag","10","Music","PT4M4S","7093398","4221","UCSY6I68IOgUToRhdgmYNNCA"
"mW0T0F7VquA","10","Music","PT3M12S","2326855","6779","UCSY6I68IOgUToRhdgmYNNCA"
"Y95B-dZ32uQ","10","Music","PT2M45S","9065312","25302","UCSY6I68IOgUToRhdgmYNNCA"
"SL5TDxlB6tE","10","Music","PT2M17S","204908","268","UCSY6I68IOgUToRhdgmYNNCA"
"SKnMRER1wbs","10","Music","PT2M41S","15489","86","UCSY6I68IOgUToRhdgmYNNCA"
"LRP8d7hhpoQ","10","Music","PT5M6S","2430497","15421","UCSY6I68IOgUToRhdgmYNNCA"
"bbUlE0NrDZ4","24","Entertainment","PT4M18S","495585","4580","UCSY6I68IOgUToRhdgmYNNCA"
"6F7quI-MbzY","24","Entertainment","PT8M39S","3748599","21318","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"GUCcObwIsOs","26","Howto & Style","PT9M53S","4420071","24913","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"VztSdwYPFCE","27","Education","PT7M40S","4081425","11826","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"DAcjV60RnRw","28","Science & Technology","PT11M48S","11424156","26067","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"4e_kz79tjb8","28","Science & Technology","PT6M27S","3847062","7847","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"Y2gTSjoEExc","28","Science & Technology","PT11M45S","3396147","5836","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"LW1rzS_hmns","10","Music","PT6M1S","321105","249","UCYU-Sl3T18bfITPTssZra9g"
"IidhUqrVm20","10","Music","PT4M2S","133976","46","UCYU-Sl3T18bfITPTssZra9g"
"Yf66tJUQgsc","10","Music","PT5M10S","79291","28","UCYU-Sl3T18bfITPTssZra9g"
